symbol,candidate_id,family,stop_atr_multiple,parameter_stability,robust,validation_sharpe,validation_return_pct,walk_forward_median_sharpe,oos_sharpe,oos_return_pct,oos_max_drawdown_pct,stress_median_sharpe,stress_profitable_pct,trades,dynamic_leverage_sharpe,dynamic_leverage_return_pct,dynamic_leverage_max_drawdown_pct,dynamic_leverage_no_trade_or_below_1x_pct
ETH/USDT,ema_12_50_6_0.002,ema_momentum,2.5,0.0,False,-2.2917461747996977,-76.78878102751159,-2.017895079661241,-2.525592152965529,-94.70462111081753,-95.69805035887259,-1.5250747507569722,0.0,1703,,,,
ETH/USDT,ema_12_50_6_0.004,ema_momentum,2.5,0.0,False,-1.7980802023965117,-67.99318641754155,-1.7563117184224364,-2.532633103818621,-94.43614948605523,-95.24304517962359,-1.3473601213087352,0.0,1473,,,,
ETH/USDT,ema_12_50_12_0.002,ema_momentum,2.5,0.0,False,-1.4061319472901923,-62.77996356825981,-1.0209292465554962,-1.0042348436306652,-75.60958260493248,-81.98571450617295,-0.7192789463279599,17.5,1221,,,,
ETH/USDT,ema_12_50_12_0.004,ema_momentum,2.5,0.0,False,-0.9061879914616273,-49.12401180280555,-0.6908864477201988,-0.8812417170996146,-71.31468732589107,-78.52240743603748,-0.5541262180867423,17.5,1094,,,,
ETH/USDT,ema_12_100_6_0.002,ema_momentum,2.5,0.0,False,-1.8832879487269918,-70.03345961260776,-2.1880239109984463,-2.5341158185557537,-94.69094326160598,-95.54656506704217,-1.7301748133001384,0.0,1643,,,,
ETH/USDT,ema_12_100_6_0.004,ema_momentum,2.5,0.0,False,-1.3918785562961393,-58.9343085237799,-1.9073517734597154,-2.4558769223295984,-93.86746176875795,-94.77178154205167,-1.5363008803234386,0.0,1414,,,,
ETH/USDT,ema_12_100_12_0.002,ema_momentum,2.5,0.0,False,-1.0468446017718975,-52.49041276916662,-1.0264215384561588,-1.268256690458384,-80.6996662802287,-84.62764732138083,-0.8809986163234524,17.0,1180,,,,
ETH/USDT,ema_12_100_12_0.004,ema_momentum,2.5,0.0,False,-0.6488388100619662,-39.348523806204625,-0.7050032758511617,-1.2004491943599522,-78.45946410069008,-82.63731664651786,-0.6129918465958526,17.0,1039,,,,
ETH/USDT,ema_20_50_6_0.002,ema_momentum,2.5,0.0,False,-1.7092181172042995,-67.23053156622343,-1.8007638043745744,-2.4825722365136853,-94.38321142328503,-95.45807489325917,-1.4714924928403161,0.0,1667,,,,
ETH/USDT,ema_20_50_6_0.004,ema_momentum,2.5,0.0,False,-1.232417826047805,-55.59568879381989,-1.51600415980641,-2.3309877086542747,-93.02659611046423,-94.34766343223797,-1.230592677553672,0.0,1429,,,,
ETH/USDT,ema_20_50_12_0.002,ema_momentum,2.5,0.0,False,-0.7593529213917206,-44.37886377231541,-0.7771592318346403,-1.2957136484710061,-81.63702647187695,-86.17261003090618,-0.7069253626666373,19.5,1189,,,,
ETH/USDT,ema_20_50_12_0.004,ema_momentum,2.5,0.0,False,-0.3366570781340998,-27.824126730539632,-0.5657267443925955,-1.1765790297475358,-78.39360969526841,-83.59305764685604,-0.4176268120562154,23.5,1056,,,,
ETH/USDT,ema_20_100_6_0.002,ema_momentum,2.5,0.0,False,-1.9330692848344813,-70.58005957584912,-2.126826877673498,-2.5204263318768625,-94.34651777770088,-95.19149741663459,-1.8370879490693859,0.0,1608,,,,
ETH/USDT,ema_20_100_6_0.004,ema_momentum,2.5,0.0,False,-1.397558771093695,-58.7046870768257,-1.7287740388286856,-2.3533539851262586,-92.86557182235691,-93.91572665117363,-1.5334618308256234,0.0,1376,,,,
ETH/USDT,ema_20_100_12_0.002,ema_momentum,2.5,0.0,False,-1.2037536770410895,-56.043635554291725,-1.158022794080144,-1.299807714266003,-80.91015993302541,-84.41432556352673,-0.9037188398177507,15.5,1161,,,,
ETH/USDT,ema_20_100_12_0.004,ema_momentum,2.5,0.0,False,-0.8547753505031148,-45.50435254705574,-0.8368454892459256,-1.2175139165339217,-78.29236700521915,-82.24165046029337,-0.720223517969199,16.0,1016,,,,
ETH/USDT,breakout_atr_20_0.5,breakout_atr,2.5,1.0,True,0.6128209863901191,22.49193014940698,0.5277603698751102,1.0053142128070336,92.89362765704583,-30.886909276480935,0.5192162146589214,65.0,238,-0.7480893472436886,-1.2091017037111795,-1.2091017037111795,99.9649801554214
ETH/USDT,breakout_atr_20_1.0,breakout_atr,2.5,1.0,True,0.6125679549515249,20.37457526803179,0.6824801903610146,1.1424836166232606,93.51393898608254,-39.20001429201319,0.738624491671147,86.5,154,-0.35466474103385165,-0.36996095557021436,-0.4386405023505069,99.9783210485942
ETH/USDT,breakout_atr_40_0.5,breakout_atr,2.5,1.0,True,0.9319961188431113,39.508761883462554,0.6784825594203493,1.1953574275832746,116.05946281978609,-27.462343353899666,0.6443418270723027,82.5,197,-0.4703978981288323,-0.37943021365071106,-0.4481032328379264,99.99166194176699
ETH/USDT,breakout_atr_40_1.0,breakout_atr,2.5,1.0,True,0.9662040500040868,36.827063646652846,0.9662254089163893,1.2121333751811543,94.39809447568291,-35.69316799743182,0.9790754881367054,98.0,123,-0.23612229727301556,-0.09132776895045547,-0.16019939034156438,99.9949971650602
ETH/USDT,breakout_atr_60_0.5,breakout_atr,2.5,1.0,True,0.8135543678315467,31.606143192839742,0.7789277296638714,1.4878146457717216,164.22917282386956,-29.61442194783872,0.6630434263576106,92.0,176,-0.44863084717908447,-0.36129674072433726,-0.42998226014455687,99.9933295534136
