target,timeframe,horizon,feature_set_id,model_id,split_id,metric_roc_auc,metric_pr_auc,metric_log_loss,metric_brier_score,metric_balanced_accuracy,metric_accuracy,metric_mean_forward_return
BTC/USDT,1h,1h,crypto_core_v1,logistic_regression,wf_2023,0.5628070833394639,0.5679387232093743,0.6873035315179603,0.24709505553269068,0.5491752309558893,0.5497202877040758,0.00011746238176947424
BTC/USDT,1h,1h,crypto_core_v1,logistic_regression,wf_2024,0.5444418757929098,0.5487950983953214,0.6903619093355734,0.2486039629106559,0.5327323950879752,0.5322176684881603,0.00010622134319957378
BTC/USDT,1h,1h,crypto_core_v1,random_forest,wf_2022,0.5701903615507908,0.5539952136419578,0.6865384452200911,0.2466720439937552,0.5523096014390388,0.5521689497716895,-9.407711287377576e-05
BTC/USDT,1h,1h,crypto_core_v1,random_forest,wf_2023,0.5655328172794063,0.569513612482163,0.6867286974364761,0.2467976363190484,0.5469568220411188,0.5473227537390113,0.00011746238176947424
BTC/USDT,1h,1h,crypto_core_v1,random_forest,wf_2024,0.5572183727316472,0.561811387835025,0.6890390536573269,0.24794519092813683,0.5450928794022945,0.5446265938069217,0.00010622134319957378
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2022,0.5575652280796058,0.5429396708874493,0.6896754826018888,0.2482568664128242,0.5381617079641091,0.5373287671232877,-9.407711287377576e-05
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2023,0.5649516644236572,0.5708210498400866,0.6868954447004312,0.24688667872101466,0.5464245833840736,0.5466377440347071,0.00011746238176947424
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2024,0.5557226101162673,0.5589350333559131,0.6883106684459429,0.24759448693134298,0.5406688194583014,0.5406420765027322,0.00010622134319957378
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2022,0.5501430990419265,0.5377885703193482,0.6912637186188239,0.24904554268865212,0.5290242096556302,0.5301369863013699,-9.407711287377576e-05
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2023,0.5575217932973096,0.5641779252271851,0.6882440019990641,0.24756111669196557,0.5440997371729231,0.5430985272291358,0.00011746238176947424
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2024,0.5452918994683618,0.5478512726456413,0.691423953383718,0.2491292342967932,0.5312471099428444,0.5286885245901639,0.00010622134319957378
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2022,0.5628012549679637,0.5469544045235452,0.688396041050132,0.2475514067691217,0.5412527869700847,0.5408675799086758,-9.407711287377576e-05
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2023,0.5688808441771547,0.5731562789568794,0.6862294773477725,0.24656143817973164,0.548337037246897,0.547436922023062,0.00011746238176947424
BTC/USDT,1h,1h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2024,0.5579351458077437,0.5604169333178328,0.6896312918584109,0.24822955665347876,0.5389973258072593,0.5377959927140255,0.00010622134319957378
BTC/USDT,1h,24h,crypto_core_v1,hist_gradient_boosting,wf_2022,0.507397936288433,0.4727222392248538,0.7121534825832994,0.2589790182904597,0.5066452454435201,0.49292237442922376,-0.0023088406224894597
BTC/USDT,1h,24h,crypto_core_v1,hist_gradient_boosting,wf_2023,0.5388848447195874,0.5626062126268727,0.6959295698497864,0.2511499015125775,0.5246542235247237,0.5288274917227994,0.002874054585371239
BTC/USDT,1h,24h,crypto_core_v1,hist_gradient_boosting,wf_2024,0.5220202397237421,0.5506846703826166,0.6947727166074611,0.2506892847685952,0.521081342586414,0.530851548269581,0.0025133823597573725
BTC/USDT,1h,24h,crypto_core_v1,logistic_regression,wf_2022,0.5285831247685946,0.48814151746798784,0.6930272130274996,0.24991710988083457,0.5192257222140091,0.5190639269406393,-0.0023088406224894597
